,time,alpha,beta
0,0.0,0.00105,0.452394122991551
1,2.267695799084985e-05,0.00105,0.4529930252338443
2,4.53539159816997e-05,0.00105,0.45359088597881736
3,6.803087397254955e-05,0.00105,0.45418770572999734
4,9.07078319633994e-05,0.00105,0.4547834849941367
5,0.00011338478995424926,0.00105,0.4553782242812062
6,0.0001360617479450991,0.00105,0.4559719241043809
7,0.00015873870593594895,0.00105,0.4565645849800192
8,0.0001814156639267988,0.00105,0.45715620742765717
9,0.00020409262191764866,0.00105,0.45774679196998547
10,0.0002267695799084985,0.00105,0.45833633913283744
11,0.00024944653789934834,0.00105,0.45892484944518397
12,0.0002721234958901982,0.00105,0.4595123234390993
13,0.00029480045388104804,0.00105,0.46009876164976204
14,0.0003174774118718979,0.00105,0.4606841646154417
15,0.00034015436986274775,0.00105,0.46126853287747016
16,0.0003628313278535976,0.00105,0.4618518669802447
17,0.00038550828584444746,0.00105,0.462434167471197
18,0.0004081852438352973,0.00105,0.463015434900794
19,0.00043086220182614717,0.00105,0.4635956698225129
20,0.000453539159816997,0.00105,0.46417487279283226
21,0.0004762161178078469,0.00105,0.46475304437121656
22,0.0004988930757986967,0.00105,0.46533018512010066
23,0.0005215700337895465,0.00105,0.4659062956048782
24,0.0005442469917803964,0.00105,0.46648137639388826
25,0.0005669239497712462,0.00105,0.4670554280583932
26,0.0005896009077620961,0.00105,0.4676284511725816
27,0.0006122778657529459,0.00105,0.4682004463135339
28,0.0006349548237437958,0.00105,0.4687714140612241
29,0.0006576317817346457,0.00105,0.4693413549984974
30,0.0006803087397254955,0.00105,0.4699102697110641
31,0.0007029856977163454,0.00105,0.4704781587874737
32,0.0007256626557071952,0.00105,0.471045022819116
33,0.0007483396136980451,0.00105,0.47161086240019656
34,0.0007710165716888949,0.00105,0.47217567812772676
35,0.0007936935296797448,0.00105,0.47273947060151306
36,0.0008163704876705946,0.00105,0.4733022404241334
37,0.0008390474456614445,0.00105,0.47386398820094033
38,0.0008617244036522943,0.00105,0.47442471454003077
39,0.0008844013616431442,0.00105,0.47498442005224567
40,0.000907078319633994,0.00105,0.4755431053511461
41,0.0009297552776248439,0.00105,0.47610077105300486
42,0.0009524322356156937,0.00105,0.47665741777679904
43,0.0009751091936065436,0.00105,0.4772130461441819
44,0.0009977861515973933,0.00105,0.47776765677948646
45,0.0010204631095882433,0.00105,0.4783212503097006
46,0.001043140067579093,0.00105,0.4788738273644566
47,0.001065817025569943,0.00105,0.47942538857602385
48,0.0010884939835607928,0.00105,0.47997593457928406
49,0.0011111709415516427,0.00105,0.4805254660117322
50,0.0011338478995424925,0.00105,0.4810739835134552
51,0.0011565248575333424,0.00105,0.48162148772711366
52,0.0011792018155241922,0.00105,0.4821679792979475
53,0.0012018787735150421,0.00105,0.482713458873739
54,0.0012245557315058919,0.00105,0.4832579271048229
55,0.0012472326894967418,0.00105,0.4838013846440562
56,0.0012699096474875916,0.00105,0.48434383214681265
57,0.0012925866054784416,0.00105,0.48488527027097494
58,0.0013152635634692913,0.00105,0.48542569967690785
59,0.0013379405214601413,0.00105,0.48596512102746386
60,0.001360617479450991,0.00105,0.48650353498795645
61,0.001383294437441841,0.00105,0.4870409422261477
62,0.0014059713954326907,0.00105,0.4875773434122513
63,0.0014286483534235407,0.00105,0.48811273921889853
64,0.0014513253114143904,0.00105,0.4886471303211425
65,0.0014740022694052402,0.00105,0.4891805173964366
66,0.0014966792273960901,0.00105,0.4897129011246277
67,0.0015193561853869399,0.00105,0.4902442821879371
68,0.0015420331433777898,0.00105,0.4907746612709555
69,0.0015647101013686396,0.00105,0.49130403906062875
70,0.0015873870593594895,0.00105,0.4918324162462399
71,0.0016100640173503393,0.00105,0.49235979351940556
72,0.0016327409753411893,0.00105,0.49288617157405845
73,0.001655417933332039,0.00105,0.4934115511064339
74,0.001678094891322889,0.00105,0.49393593281506515
75,0.0017007718493137387,0.00105,0.4944593174007627
76,0.0017234488073045887,0.00105,0.49498170556661103
77,0.0017461257652954384,0.00105,0.4955030980179436
78,0.0017688027232862884,0.00105,0.4960234954623464
79,0.0017914796812771381,0.00105,0.4965428986096357
80,0.001814156639267988,0.00105,0.4970613081718518
81,0.0018368335972588378,0.00105,0.4975787248632374
82,0.0018595105552496878,0.00105,0.4980951494002428
83,0.0018821875132405375,0.00105,0.49861058250149554
84,0.0019048644712313875,0.00105,0.49912502488780713
85,0.0019275414292222372,0.00105,0.49963847728213956
86,0.0019502183872130872,0.00105,0.5001509404096165
87,0.001972895345203937,0.00105,0.5006624149974965
88,0.0019955723031947867,0.00105,0.5011729017751643
89,0.0020182492611856367,0.00105,0.5016824014741254
90,0.0020409262191764866,0.00105,0.5021909148279855
91,0.0020636031771673366,0.00105,0.5026984425724421
92,0.002086280135158186,0.00105,0.5032049854452854
93,0.002108957093149036,0.00105,0.5037105441863637
94,0.002131634051139886,0.00105,0.5042151195375868
95,0.002154311009130736,0.00105,0.5047187122429193
96,0.0021769879671215855,0.00105,0.5052213230483547
97,0.0021996649251124355,0.00105,0.5057229527019158
98,0.0022223418831032855,0.00105,0.5062236019536364
99,0.002245018841094135,0.00105,0.5067232715555525
100,0.002267695799084985,0.00105,0.5072219622616969
101,0.002290372757075835,0.00105,0.5077196748280771
102,0.002313049715066685,0.00105,0.5082164100126705
103,0.0023357266730575344,0.00105,0.5087121685754179
104,0.0023584036310483844,0.00105,0.5092069512781983
105,0.0023810805890392343,0.00105,0.5097007588848387
106,0.0024037575470300843,0.00105,0.5101935921610793
107,0.002426434505020934,0.00105,0.5106854518745811
