,time,alpha,beta
0,0.0,0.00097,0.6530544480238687
1,2.2676958912033854e-05,0.00097,0.6530248444798938
2,4.535391782406771e-05,0.00097,0.652995311118983
3,6.803087673610156e-05,0.00097,0.6529658477434053
4,9.070783564813542e-05,0.00097,0.6529364541557321
5,0.00011338479456016927,0.00097,0.6529071301588413
6,0.00013606175347220312,0.00097,0.6528778755559121
7,0.00015873871238423698,0.00097,0.6528486901504307
8,0.00018141567129627083,0.00097,0.6528195737461819
9,0.0002040926302083047,0.00097,0.6527905261472589
10,0.00022676958912033854,0.00097,0.6527615471580519
11,0.00024944654803237237,0.00097,0.6527326365832555
12,0.00027212350694440625,0.00097,0.6527037942278668
13,0.00029480046585644013,0.00097,0.652675019897184
14,0.00031747742476847396,0.00097,0.652646313396805
15,0.0003401543836805078,0.00097,0.6526176745326295
16,0.00036283134259254167,0.00097,0.6525891031108564
17,0.00038550830150457555,0.00097,0.6525605989379868
18,0.0004081852604166094,0.00097,0.652532161820818
19,0.0004308622193286432,0.00097,0.6525037915664489
20,0.0004535391782406771,0.00097,0.6524754879822766
21,0.00047621613715271096,0.00097,0.6524472508759971
22,0.0004988930960647447,0.00097,0.6524190800556035
23,0.0005215700549767786,0.00097,0.6523909753293886
24,0.0005442470138888125,0.00097,0.6523629365059391
25,0.0005669239728008464,0.00097,0.6523349633941433
26,0.0005896009317128803,0.00097,0.6523070558031825
27,0.000612277890624914,0.00097,0.6522792135425363
28,0.0006349548495369479,0.00097,0.6522514364219798
29,0.0006576318084489818,0.00097,0.6522237242515843
30,0.0006803087673610156,0.00097,0.6521960768417141
31,0.0007029857262730495,0.00097,0.6521684940030319
32,0.0007256626851850833,0.00097,0.6521409755464924
33,0.0007483396440971172,0.00097,0.6521135212833464
34,0.0007710166030091511,0.00097,0.6520861310251369
35,0.0007936935619211849,0.00097,0.6520588045837006
36,0.0008163705208332187,0.00097,0.6520315417711692
37,0.0008390474797452526,0.00097,0.6520043423999661
38,0.0008617244386572864,0.00097,0.651977206282806
39,0.0008844013975693203,0.00097,0.6519501332326982
40,0.0009070783564813542,0.00097,0.6519231230629419
41,0.000929755315393388,0.00097,0.6518961755871286
42,0.0009524322743054219,0.00097,0.6518692906191415
43,0.0009751092332174557,0.00097,0.6518424679731526
44,0.0009977861921294895,0.00097,0.6518157074636276
45,0.0010204631510415234,0.00097,0.6517890089053175
46,0.0010431401099535572,0.00097,0.6517623721132674
47,0.0010658170688655911,0.00097,0.6517357969028111
48,0.001088494027777625,0.00097,0.6517092830895683
49,0.0011111709866896589,0.00097,0.6516828304894519
50,0.0011338479456016928,0.00097,0.6516564389186595
51,0.0011565249045137266,0.00097,0.6516301081936802
52,0.0011792018634257605,0.00097,0.6516038381312868
53,0.0012018788223377942,0.00097,0.651577628548542
54,0.001224555781249828,0.00097,0.6515514792627948
55,0.001247232740161862,0.00097,0.6515253900916824
56,0.0012699096990738958,0.00097,0.6514993608531251
57,0.0012925866579859297,0.00097,0.6514733913653331
58,0.0013152636168979636,0.00097,0.6514474814467994
59,0.0013379405758099975,0.00097,0.6514216309163036
60,0.0013606175347220311,0.00097,0.6513958395929088
61,0.001383294493634065,0.00097,0.6513701072959643
62,0.001405971452546099,0.00097,0.6513444338451044
63,0.0014286484114581328,0.00097,0.6513188190602457
64,0.0014513253703701667,0.00097,0.6512932627615879
65,0.0014740023292822005,0.00097,0.6512677647696161
66,0.0014966792881942344,0.00097,0.6512423249050976
67,0.0015193562471062683,0.00097,0.6512169429890814
68,0.0015420332060183022,0.00097,0.6511916188429001
69,0.0015647101649303359,0.00097,0.6511663522881677
70,0.0015873871238423697,0.00097,0.6511411431467802
71,0.0016100640827544036,0.00097,0.6511159912409132
72,0.0016327410416664375,0.00097,0.6510908963930264
73,0.0016554180005784714,0.00097,0.6510658584258577
74,0.0016780949594905053,0.00097,0.6510408771624254
75,0.0017007719184025391,0.00097,0.6510159524260296
76,0.0017234488773145728,0.00097,0.6509910840402482
77,0.0017461258362266067,0.00097,0.6509662718289393
78,0.0017688027951386406,0.00097,0.6509415156162404
79,0.0017914797540506744,0.00097,0.6509168152265656
80,0.0018141567129627083,0.00097,0.65089217048461
81,0.0018368336718747422,0.00097,0.6508675812153459
82,0.001859510630786776,0.00097,0.6508430472440223
83,0.00188218758969881,0.00097,0.6508185683961656
84,0.0019048645486108439,0.00097,0.6507941444975822
85,0.0019275415075228775,0.00097,0.6507697753743509
86,0.0019502184664349114,0.00097,0.6507454608528299
87,0.0019728954253469453,0.00097,0.6507212007596516
88,0.001995572384258979,0.00097,0.6506969949217256
89,0.002018249343171013,0.00097,0.6506728431662359
90,0.0020409263020830467,0.00097,0.6506487453206429
91,0.002063603260995081,0.00097,0.6506247012126797
92,0.0020862802199071145,0.00097,0.6506007106703571
93,0.0021089571788191486,0.00097,0.650576773521956
94,0.0021316341377311822,0.00097,0.6505528895960337
95,0.0021543110966432163,0.00097,0.6505290587214213
96,0.00217698805555525,0.00097,0.6505052807272205
97,0.0021996650144672837,0.00097,0.6504815554428087
98,0.0022223419733793178,0.00097,0.6504578826978349
99,0.0022450189322913514,0.00097,0.6504342623222181
100,0.0022676958912033855,0.00097,0.650410694146154
101,0.002290372850115419,0.00097,0.6503871780001056
102,0.0023130498090274533,0.00097,0.6503637137148076
103,0.002335726767939487,0.00097,0.6503403011212688
104,0.002358403726851521,0.00097,0.6503169400507645
105,0.0023810806857635547,0.00097,0.650293630334843
106,0.0024037576446755884,0.00097,0.650270371805322
107,0.0024264346035876225,0.00097,0.6502471642942882
